canonical_key,first_published_date,title,url,source,section,tags,notes
anthropic-claude-code-limits-spacex,2026-06-05,Anthropic Claude Code limits and SpaceX compute deal,https://www.anthropic.com/news/higher-limits-spacex,Anthropic,Top 5,"Anthropic;Claude Code;compute;AI coding agents",official announcement
anthropic-draft-s1-sec,2026-06-05,Anthropic confidential draft S-1 SEC,https://www.anthropic.com/news/confidential-draft-s1-sec,Anthropic,Top 5,"Anthropic;IPO;business",official announcement
anthropic-80-percent-code-claude,2026-06-05,Anthropic says 80 percent of new production code is authored by Claude,https://venturebeat.com/technology/anthropic-says-80-of-its-new-production-code-is-now-authored-by-claude-how-your-enterprise-can-keep-up,VentureBeat,Top 5,"Anthropic;Claude;AI coding;workflow",reported claim
Google-search-io-2026-ai-agents,2026-06-05,Google Search I/O 2026 AI agents and Gemini 3.5 Flash,https://blog.google/products-and-platforms/products/search/search-io-2026/,Google,Top 5,"Google;Gemini;AI Search;agents",official announcement
ai-coding-agents-prompt-injection-secrets,2026-06-05,AI coding agents leaked secrets through prompt injection,https://venturebeat.com/security/ai-agent-runtime-security-system-card-audit-comment-and-control-2026,VentureBeat,Top 5,"AI security;coding agents;prompt injection",security reporting
geeknews-ai-agent-runtime-trend,2026-06-05,GeekNews AI agent runtime and containment trend,https://news.hada.io/,GeekNews,Trend Radar,"GeekNews;AI agents;runtime;developer community",community trend
x-claude-code-billing-limits-trend,2026-06-05,Claude Code billing and limits discussion on X,https://x.com/phipps/article/2062712197210394664,X,Trend Radar,"X;Claude Code;billing;limits",social trend
threads-ai-tool-usage-trend,2026-06-05,Threads AI tool usage and Gemini Claude ChatGPT trend,https://www.threads.net/@testingcatalog,Threads,Trend Radar,"Threads;AI tools;usage",social trend
github-copilot-sdk-ga,2026-06-06,GitHub Copilot SDK generally available,https://github.blog/changelog/2026-06-02-copilot-sdk-is-now-generally-available/,GitHub,Top 5,"GitHub;Copilot SDK;AI agents;developer tools",official changelog
github-copilot-vscode-agents-may-2026,2026-06-06,GitHub Copilot in VS Code May releases,https://github.blog/changelog/2026-06-03-github-copilot-in-visual-studio-code-may-releases/,GitHub,Top 5,"GitHub;VS Code;Copilot;remote agents;BYOK",official changelog
openai-biodefense-intelligence-age,2026-06-06,Biodefense in the Intelligence Age,https://openai.com/index/biodefense-in-the-intelligence-age/,OpenAI,Top 5,"OpenAI;biodefense;AI safety;policy",official announcement
openai-public-policy-agenda-2026,2026-06-06,OpenAI public policy agenda,https://openai.com/index/public-policy-agenda/,OpenAI,Top 5,"OpenAI;AI policy;frontier safety;governance",official announcement
ai-token-bill-costs-techcrunch-2026-06-05,2026-06-06,The token bill comes due,https://techcrunch.com/2026/06/05/the-token-bill-comes-due-inside-the-industry-scramble-to-manage-ais-runaway-costs/,TechCrunch,Top 5,"AI cost;tokens;enterprise adoption;AI coding",media report
geeknews-ai-security-agent-tools-2026-06-06,2026-06-06,GeekNews AI security and agent tool trend,https://news.hada.io/,GeekNews,Trend Radar,"GeekNews;AI security;agents;developer community",community trend
x-copilot-sdk-cost-billing-trends-2026-06-06,2026-06-06,Copilot SDK and AI billing discussion on X,https://x.com/GHchangelog,X,Trend Radar,"X;GitHub Copilot;AI billing;agents",social trend
threads-codex-claude-code-workflow-2026-06-06,2026-06-06,Threads Codex and Claude Code workflow discussion,https://www.threads.net/@passivelywealthydad?hl=fa,Threads,Trend Radar,"Threads;Codex;Claude Code;workflow",social trend
